state,lea_or_school_name,entity_type,nces_id,tool_class,vendor,product_name,scope,campus_names_if_public,data_collected_summary,pii_or_student_content,lockdown_or_law_enforcement_notify,human_verification,status,first_public_date,last_verified_at,sources,notes,districts_csv_match,host_lea_districts_csv_match
TN,Metro Nashville Public Schools,traditional_lea,,camera_ai_gun_detect,Omnilert,Omnilert Gun Detect,districtwide,,CCTV video frames scanned for visible firearms,unknown,yes,mixed,deployed,2023-02-01,2026-09-13,https://www.wsmv.com/2024/02/13/metro-nashville-public-schools-activate-new-gun-detection-system/;https://www.omnilert.com/blog/nashville-schools-approve-1m-gun-detection-contract;https://www.nbcnews.com/news/us-news/ai-weapon-detection-system-antioch-high-school-failed-detect-gun-nashv-rcna189025;https://www.tennessean.com/story/news/local/2025/01/23/nashville-high-school-shooting-ai-weapon-detection-failed/77908354007/,"Board approved NTE ~$1.05M contract (Mar 2023–Nov 2025) for Omnilert add-on on 1,300+ cameras; districtwide activation reported Feb 2024. Jan 22 2025 Antioch HS shooting: MNPS/Omnilert said system did not alert on shooter's handgun because weapon was not sufficiently visible to cameras; system did activate when armed police arrived (NBC News; Tennessean).",Metro Nashville Public Schools,
TN,Father Ryan High School,private,,camera_ai_gun_detect,ZeroEyes,ZeroEyes AI Gun Detection,single_campus,Father Ryan High School,CCTV video frames scanned for visible firearms,unknown,unknown,vendor_soc,deployed,2024-05-02,2026-09-13,https://www.prnewswire.com/news-releases/father-ryan-high-school-deploys-zeroeyes-proactive-ai-gun-detection-technology-302134327.html;https://www.fatherryan.org/post/~board/news-posts/post/blog-campus-safety-and-security;https://www.securityinfowatch.com/school-security/press-release/55036642/zeroeyes-father-ryan-high-school-deploys-zeroeyes-ai-gun-detection-technology,May 2024 deployment (PR Newswire). School blog: 100+ cameras; ~75% on ZeroEyes; alerts to admins/campus officers/Metro Police within ~7 seconds. Blog also notes alert on theater prop/non-lethal weapon during rehearsal. Private school (not MNPS-operated); host_lea set to Metro Nashville for geographic LEA-page join.,,Metro Nashville Public Schools
TN,South Pittsburg High School,school_campus,,camera_ai_gun_detect,ZeroEyes,ZeroEyes AI Gun Detection,single_campus,South Pittsburg High School,CCTV video frames scanned for visible firearms,unknown,unknown,vendor_soc,deployed,2020-02-01,2026-09-13,https://go.security101.com/hubfs/2022_Theme/partner-pages/zeroeyes/case-study-installation.pdf;https://realnets.com/industries/education/case-study-south-pittsburg-high-school-hanwha/;https://www.casestudies.com/company/hanwha-techwin-america/case-study/south-pittsburg-high-school-uses-hanwha-cameras-in-ai-based-weapons-detection-system;https://www.mcnewstn.com/articles/school-drill-scheduled-for-friday-feb-21-no-cause-for-alarm/,Feb 2020 active-shooter drill + purchase; Security101/ZeroEyes case study states SPHS became first TN school to purchase ZeroEyes. Public sources name the high school campus (not a districtwide Marion County rollout). LEA context: Marion County Schools (TN).,Marion County Schools,Marion County Schools
GA,Gwinnett County Public Schools,traditional_lea,,entry_portal_weapons,Evolv,Evolv weapons detection (entry portals),multi_campus,,Entry-portal screening of persons/bags for weapons signatures,unknown,no,district_soc,deployed,2025-07-18,2026-09-13,https://www.wsbtv.com/news/local/gwinnett-county/gwinnett-school-approves-more-than-19m-weapon-detectors-middle-high-schools/LXKPVO5DDFGARGYQG2SJ5ROR5Y/;https://www.wsbradio.com/news/local/gwinnett-county-schools-approve-20m-security-upgrade-middle-high-schools/ZAWXSDDIWZCGNFWV32SREC57AU/;https://www.cbsnews.com/atlanta/news/gwinnett-county-evolv-weapons-detection-system-installed-middle-high-schools/;https://www.fox5atlanta.com/news/gwinnett-county-schools-install-new-weapon-detection-systems,BOE approved ~$19.36M (~$20M reported) Evolv entry portals for all middle and high schools (pilot at Grayson HS). Install began ~Aug 2025; CBS Atlanta reported completion for middle/high by Mar 2026. Entry screening — not camera AI. Elementary not included at seed time.,Gwinnett County Public Schools,
FL,Seminole County Public Schools,traditional_lea,,camera_ai_gun_detect,ZeroEyes,ZeroEyes AI Gun Detection,multi_campus,,CCTV video frames scanned for visible firearms,unknown,yes,vendor_soc,deployed,2021-01-01,2026-09-13,https://www.wesh.com/article/seminole-ai-gun-detection/40120102;https://www.orlandoweekly.com/news/seminole-county-testing-artificial-intelligence-that-will-recognize-guns-in-schools-31685054/;https://www.clickorlando.com/news/local/2025/12/09/student-holding-instrument-like-a-gun-prompts-automated-system-to-issue-code-red-at-oviedo-school/;https://arstechnica.com/tech-policy/2025/12/florida-schools-plan-to-vastly-expand-use-of-ai-that-mistook-clarinet-for-gun/,Pilot Oviedo HS Jan 2021; district spokesperson cited expansion to 20+ locations (campuses not publicly listed). Dec 9 2025 Lawton Chiles Middle (Oviedo): ZeroEyes alert + brief Code Red after student held clarinet like a rifle while in camo/tactical costume (ClickOrlando; Ars Technica). Matched to districts.csv FL traditional row after FL roster stub 2026-09-13.,Seminole County Public Schools,
FL,Sumter County Schools,traditional_lea,,camera_ai_gun_detect,ZeroEyes,ZeroEyes AI Gun Detection,districtwide,,CCTV video frames scanned for visible firearms,unknown,unknown,vendor_soc,renewed,2024-05-01,2026-09-13,https://www.prnewswire.com/news-releases/sumter-county-schools-renews-zeroeyes-ai-gun-detection-deployment-302782623.html;https://security.world/sumter-county-schools-renews-zeroeyes-deployment/,"May 27 2026 PR: renewed after two years; integrated across nine schools (~6,000 students). Exact original go-live date not independently dated beyond 'two years' prior to renewal. Matched to districts.csv FL traditional row after FL roster stub 2026-09-13.",Sumter County Schools,
MI,Crawford AuSable School District,traditional_lea,,camera_ai_gun_detect,ZeroEyes,ZeroEyes AI Gun Detection,districtwide,,CCTV video frames scanned for visible firearms,unknown,unknown,vendor_soc,deployed,2023-03-15,2026-09-13,https://www.prnewswire.com/news-releases/crawford-ausable-school-district-adopts-zeroeyes-ai-based-gun-detection-to-proactively-protect-students-and-faculty-301771738.html,"Mar 15 2023 PR: Grayling MI district (four schools, ~1,600 students) selected ZeroEyes on existing cameras. Unmatched: LEA not in districts.csv map (out-of-universe for GA/TN/WA).",,
IA,Murray Community School District,traditional_lea,,camera_ai_gun_detect,ZeroEyes,ZeroEyes AI Gun Detection,single_campus,,CCTV video frames scanned for visible firearms,unknown,unknown,vendor_soc,announced,2024-05-09,2026-09-13,https://www.prnewswire.com/news-releases/murray-community-school-district-selects-zeroeyes-proactive-ai-gun-detection-solution-to-mitigate-gun-related-threats-302140429.html,May 9 2024 PR: rural IA PreK–12 district (~300 students) selected ZeroEyes; superintendent quoted. Status coded announced (selection PR; independent local confirm of go-live not recovered in seed pass). Unmatched: LEA not in districts.csv map (out-of-universe for GA/TN/WA).,,
TX,Brazosport Independent School District,traditional_lea,,camera_ai_gun_detect,ZeroEyes,ZeroEyes AI Gun Detection,districtwide,,CCTV video frames scanned for visible firearms,unknown,unknown,vendor_soc,deployed,2023-02-15,2026-09-13,https://www.prnewswire.com/news-releases/brazosport-independent-school-district-selects-zeroeyes-ai-based-gun-detection-platform-to-proactively-protect-against-active-shooter-threats-301746901.html,"Feb 15 2023 PR: Brazosport ISD (TX) deployed ZeroEyes on existing cameras; district ~12,400 students. Unmatched: LEA not in districts.csv map (out-of-universe for GA/TN/WA).",,
WI,Kenosha Unified School District,traditional_lea,,camera_ai_gun_detect,ZeroEyes,ZeroEyes AI Gun Detection,multi_campus,,CCTV video frames scanned for visible firearms,unknown,unknown,vendor_soc,deployed,2020-11-17,2026-09-13,https://zeroeyes.com/kenosha-unified-school-district-selects-zeroeyes-ai-weapons-detection-platform/,Nov 17 2020 ZeroEyes release: KUSD selected platform integrating with IP cameras; alerts to admins/SROs/911. Campus list not disclosed in source. Unmatched: LEA not in districts.csv map (out-of-universe for GA/TN/WA).,,
