official_name,scsc_id_or_code_if_any,city,county,grades_served,website,status_open_closed,notes,source_url,entity_type,date_pulled
Academy for Classical Education,783-0623,Macon,Bibb,K-12,https://www.acemacon.org/,open,Statewide attendance; established 2014,https://scsc.georgia.gov/document/document/2025-2026-master-charter-school-list/download,charter,2026-09-06
Academy for Innovation in Medicine,,Atlanta,Fulton,6-12,https://scsc.georgia.gov/locations/school,pre_opening_2026,Scheduled to open Fall 2026; * on master list; serves APS/Clayton/DeKalb/Fulton/Cobb,https://scsc.georgia.gov/document/document/2025-2026-master-charter-school-list/download,charter,2026-09-06
Amana Academy West Atlanta,783-0643,Smyrna,Cobb,K-6,https://www.amanaacademy.org/,open,Statewide; opened 2022,https://scsc.georgia.gov/document/document/2025-2026-master-charter-school-list/download,charter,2026-09-06
Atlanta Heights Charter School,783-0410,Atlanta,Fulton,K-8,https://www.nhaschools.com/schools/atlanta-heights-charter-school/en,open,APS attendance area; NHA-managed,https://scsc.georgia.gov/document/document/2025-2026-master-charter-school-list/download,charter,2026-09-06
Atlanta SMART Academy,783-0627,Atlanta,Fulton,5-8,https://www.atlantasmart.org/,open,Statewide; opened 2021,https://scsc.georgia.gov/document/document/2025-2026-master-charter-school-list/download,charter,2026-09-06
Atlanta Unbound Academy,783-0632,Atlanta,Fulton,K-8,https://www.atlantaunbound.org/,open,Statewide; opened 2020,https://scsc.georgia.gov/document/document/2025-2026-master-charter-school-list/download,charter,2026-09-06
Baconton Community Charter School,783-0630,Baconton,Mitchell,K-12,https://www.bacontoncharter.org/,open,Serves Mitchell/Lee/Dougherty/Baker/Worth,https://scsc.georgia.gov/document/document/2025-2026-master-charter-school-list/download,charter,2026-09-06
BIA Charter School,783-0613,Norcross,Gwinnett,K-8,https://www.biacharter.com/,open,Statewide; opened 2016,https://scsc.georgia.gov/document/document/2025-2026-master-charter-school-list/download,charter,2026-09-06
Cherokee Classical Academy,782-0622,Canton,Cherokee,K-6,https://www.cherokeeclassical.org/,open,Opened 2025; multi-county metro,https://scsc.georgia.gov/document/document/2025-2026-master-charter-school-list/download,charter,2026-09-06
Cirrus Academy Charter School,783-0611,Macon,Bibb,K-8,https://www.cirrusacademy.org/,open,Statewide; opened 2015,https://scsc.georgia.gov/document/document/2025-2026-master-charter-school-list/download,charter,2026-09-06
Coweta Charter Academy,783-0610,Senoia,Coweta,K-8,https://www.cowetacharteracademy.org/,open,Coweta/Meriwether/Spalding/Fayette/Pike; opened 2010,https://scsc.georgia.gov/document/document/2025-2026-master-charter-school-list/download,charter,2026-09-06
DeKalb Brilliance Academy,783-0637,Decatur,DeKalb,K-5,https://www.dekalbbrilliance.org/,open,APS/DeKalb; opened 2022,https://scsc.georgia.gov/document/document/2025-2026-master-charter-school-list/download,charter,2026-09-06
